time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-09-01T07:01:53.708Z,22.9893,121.4211,10,4.5,mb,38,98,0.358,0.46,us,us6000ii76,2022-09-24T11:10:52.040Z,"99 km E of Yujing, Taiwan",earthquake,5.4,1.883,0.144,20,reviewed,us,us
2022-09-01T06:39:44.282Z,14.8974,108.2737,9.284,4.5,mb,19,110,4.172,0.62,us,us6000ii75,2022-09-24T09:18:01.040Z,"60 km WSW of Qu?ng Ngãi, Vietnam",earthquake,4.69,4.808,0.163,12,reviewed,us,us
2022-09-01T04:03:13.894Z,13.8733,-91.9335,35,4.7,mb,65,97,1.538,0.93,us,us7000i47f,2022-10-03T21:31:19.040Z,"46 km S of Champerico, Guatemala",earthquake,6.53,1.668,0.026,463,reviewed,us,us
2022-09-01T02:02:53.930Z,26.7285,126.5191,10,4.7,mb,68,64,1.571,0.52,us,us7000i46m,2022-10-03T20:37:45.040Z,"129 km WNW of Naha, Japan",earthquake,6.16,1.808,0.097,35,reviewed,us,us
2022-09-01T01:01:01.101Z,-20.2638,-176.2948,225.272,4.6,mb,19,119,1.362,0.37,us,us6000ii6w,2022-09-13T00:54:44.040Z,"149 km NW of Nuku‘alofa, Tonga",earthquake,10.57,11.79,0.145,14,reviewed,us,us
2022-08-31T21:45:05.367Z,-21.564,175.5995,10,5.4,mww,120,41,4.447,0.65,us,us7000i459,2022-10-06T02:03:53.370Z,"south of the Fiji Islands",earthquake,7.78,1.785,0.078,16,reviewed,us,us
2022-08-31T17:14:47.506Z,11.8809,142.245,35,4.6,mb,58,45,3.072,0.68,us,us7000i42s,2022-09-13T21:23:33.850Z,"south of the Mariana Islands",earthquake,6.98,1.595,0.066,70,reviewed,us,us
2022-08-31T15:50:53.284Z,-60.5422,-25.4199,10,4.6,mb,25,111,15.912,0.9,us,us7000i41b,2022-09-09T00:22:53.040Z,"",earthquake,13.46,1.729,0.119,21,reviewed,us,us
2022-08-31T14:02:17.685Z,37.5368,26.8049,10,4.6,mwr,87,30,1.68,0.35,us,us7000i40j,2022-09-29T09:55:21.040Z,"17 km WNW of Megálo Chorió, Greece",earthquake,5.14,1.863,0.086,13,reviewed,us,us
2022-08-31T12:36:44.583Z,28.9851,66.3703,9.664,4.6,mb,65,102,5.988,0.68,us,us7000i3zb,2022-09-15T05:08:27.040Z,"22 km WSW of Kalat, Pakistan",earthquake,8.78,4.375,0.083,44,reviewed,us,us
2022-08-31T10:10:11.360Z,37.5527,26.8473,10.566,5.5,mww,125,34,1.644,0.53,us,us7000i3yp,2022-10-05T20:16:52.040Z,"15 km NW of Megálo Chorió, Greece",earthquake,3.22,4.171,0.048,41,reviewed,us,us
2022-08-31T09:56:40.134Z,37.5649,26.8151,10,4.7,mwr,102,50,1.658,0.69,us,us7000i3ym,2022-09-11T09:08:59.950Z,"17 km SSW of Chóra, Greece",earthquake,4.79,1.806,0.059,28,reviewed,us,us
2022-08-31T09:13:10.583Z,33.5925,82.0102,10,4.5,mb,43,109,6.423,0.77,us,us7000i3yg,2022-09-11T09:00:49.040Z,"western Xizang",earthquake,8.52,1.905,0.102,28,reviewed,us,us
2022-08-31T07:45:09.588Z,-23.5793,179.5485,563.549,4.8,mb,35,93,5.416,0.63,us,us7000i3y4,2022-09-29T05:25:35.040Z,"south of the Fiji Islands",earthquake,14.19,10.003,0.113,24,reviewed,us,us
2022-08-31T03:04:58.041Z,26.9314,126.5763,10,5,mb,96,72,1.518,0.86,us,us7000i3w5,2022-09-09T02:48:38.040Z,"135 km NW of Naha, Japan",earthquake,6.73,1.832,0.062,83,reviewed,us,us
2022-08-31T02:59:53.327Z,-20.7637,-11.5883,10,4.6,mb,28,94,7.321,0.96,us,us6000ii5n,2022-09-29T02:31:04.040Z,"southern Mid-Atlantic Ridge",earthquake,12.54,1.879,0.112,24,reviewed,us,us
2022-08-31T00:39:21.127Z,-2.119,139.1948,28.49,4.6,mb,55,30,6.985,0.52,us,us7000i3vf,2022-09-08T22:32:33.040Z,"",earthquake,10.13,4.388,0.094,34,reviewed,us,us
2022-08-30T23:37:19.273Z,4.5055,62.5122,10,5.1,mb,93,39,10.855,0.59,us,us7000i3v0,2022-09-08T02:23:33.040Z,"Carlsberg Ridge",earthquake,10.3,1.824,0.056,104,reviewed,us,us
2022-08-30T22:40:57.264Z,16.2209,-98.7916,10,4.5,mb,152,186,1.352,0.54,us,us7000i3ul,2022-09-08T01:47:50.040Z,"32 km SSW of Barra de Tecoanapa, Mexico",earthquake,9.97,1.945,0.042,162,reviewed,us,us
2022-08-30T20:42:30.208Z,35.0502,31.9395,10,4.5,mb,14,134,1.146,0.8,us,us7000i3ss,2022-10-04T20:55:22.040Z,"44 km W of Pólis, Cyprus",earthquake,5.55,1.985,0.061,83,reviewed,us,us
2022-08-30T19:17:46.874Z,5.1534,-76.2303,100.779,4.5,mb,28,116,1.246,0.74,us,us7000i614,2022-10-04T21:02:43.040Z,"23 km WSW of Pueblo Rico, Colombia",earthquake,7.33,8.545,0.135,17,reviewed,us,us
2022-08-30T19:06:19.508Z,-3.7353,128.8494,125.8,4.5,mb,29,62,3.489,0.93,us,us7000i3ry,2022-10-04T21:04:39.040Z,"",earthquake,7.71,8.043,0.131,17,reviewed,us,us
